m,n_dus_edges,n_skip,C,L,version_ref,n_dependencies,C_spine,L_spine,C_spine_sd,L_spine_sd,C_fwd,L_fwd,m_fwd
104,2463,2360,0.518291510945008,1.6538461538461537,mN12kNbspQbGF3D,15366,0.5138686599038975,1.646153846153846,0.0008676445012717316,0.010793242461847933,,,
68,947,880,0.5967754201840444,1.338235294117647,dtyqbJQK2UT4e3l,19341,0.5725530458590007,1.2801470588235295,0.0024675723755278145,0.0032050727526034732,0.6330579784454244,1.2496209059466508,55.8
210,3664,3455,0.4158537373215324,3.442857142857143,n04whOzXpTp5828,36008,0.38416806641255896,3.404761904761905,0.0025020173147532344,0.07592214654236873,,,
128,2022,1895,0.5523095550918412,2.3203125,uw7Spbq8ELJ6A1T,30325,0.5310933353942859,1.58828125,0.0014076584710124528,0.017660397742902054,,,
128,2004,1877,0.5336713295994479,2.15625,6F2y4UcGk876ipQ,29056,0.5114272821384015,1.551953125,0.001229315039676135,0.023211803932414968,,,
128,1999,1872,0.5375256249833604,2.140625,JV33Es293KcwUnp,29728,0.5147280423843881,1.5421875,0.0013550505300676658,0.02548360379734389,,,
128,2021,1894,0.5531443298969072,2.3046875,4DMfleF619ex6zh,30252,0.5308389175257733,1.572265625,0.0014948559144668278,0.025420655318006163,0.6079819046072628,1.2806807736381676,83.8
26,160,135,0.6360505166475315,3.8076923076923075,o1YcSnrb5EsF9yb,32703,0.637715269804822,3.8365384615384612,0.0014282267858352247,0.05422258530719887,,,
78,1496,1419,0.6437921287236356,3.0384615384615383,jVHzReix6zM50O6,24865,0.637797347249402,3.0384615384615388,0.0015895503346954267,4.440892098500626e-16,,,
128,1986,1859,0.5372689965936217,2.296875,tphBQTxSkrKF424,29054,0.5154520827186653,1.560546875,0.0018831249225733351,0.031335332712002194,,,
128,2001,1874,0.5463396759756065,2.3046875,XuUL3k932S7kzC0,28871,0.5230690711126232,1.56640625,0.0015411978971927344,0.027006853152255633,,,
128,1994,1867,0.5363855421686747,2.15625,65Rid7OBrFT2Xj5,29077,0.5131793842034806,1.547265625,0.0015904803231524957,0.019527343359296855,,,
101,954,854,0.4144293663965635,10.693069306930694,5ZrX7mhOB8WrPwH,24400,0.3578199746168115,10.754455445544556,0.0023345616441084677,0.1962694921721008,,,
91,2532,2442,0.7128697457187337,1.2527472527472527,O5o5vRiZL63dtb4,25395,0.7082035979934267,1.2549450549450547,0.0006451933226094866,0.00439560439560438,,,
78,1496,1419,0.6437921287236356,3.0384615384615383,7J6KDT6H0DVwWX6,24865,0.6373885627310286,3.0384615384615388,0.0013130751616990033,4.440892098500626e-16,0.8186921353963408,2.045602581179435,47.3
89,2559,2471,0.7005077004058208,1.1797752808988764,llpiP3vCQ4fWv9I,25172,0.6960895182789126,1.1797752808988764,0.0006758061442869161,0.0,,,
